iteration, error_rate
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0.994074
32,0.959417
33,0.959417
34,0.959417
35,0.957956
36,0.940494
37,0.91979
38,0.917715
39,0.87809
40,0.876609
41,0.87689
42,0.848524
43,0.83619
44,0.821596
45,0.809686
46,0.809011
47,0.809011
48,0.809011
49,0.809011
50,0.809011
51,0.808862
52,0.804959
53,0.802272
54,0.793916
55,0.790219
56,0.78889
57,0.788387
58,0.787767
59,0.784511
60,0.781574
61,0.779551
62,0.777645
63,0.76714
64,0.747419
65,0.728194
66,0.716366
67,0.704352
68,0.700758
69,0.690653
70,0.678174
71,0.671464
72,0.66909
73,0.668281
74,0.66782
75,0.666961
76,0.664715
77,0.665708
78,0.66595
79,0.665459
80,0.666762
81,0.665147
82,0.66576
83,0.664757
84,0.664218
85,0.66364
86,0.663005
87,0.659294
88,0.658025
89,0.657714
90,0.659282
91,0.659283
92,0.654569
93,0.653662
94,0.655175
95,0.658442
96,0.656589
97,0.656369
98,0.655291
99,0.654091
100,0.657929
101,0.655049
102,0.655744
103,0.653686
104,0.65542
105,0.654305
106,0.653069
107,0.651479
108,0.648615
109,0.647981
110,0.649034
111,0.646472
112,0.64444
113,0.645483
114,0.641251
115,0.640984
116,0.637798
117,0.63714
118,0.634142
119,0.632361
120,0.631254
121,0.628997
122,0.623911
123,0.626112
124,0.627968
125,0.626453
126,0.625759
127,0.625013
128,0.627705
129,0.626037
130,0.624557
131,0.623925
132,0.623329
133,0.623692
134,0.621311
135,0.636578
136,0.683241
137,0.653514
138,0.647751
139,0.644419
140,0.650385
141,0.659303
142,0.666555
143,0.668803
144,0.669602
145,0.669516
146,0.669501
147,0.66771
148,0.665331
149,0.663278
150,0.660702
151,0.657441
152,0.656579
153,0.654429
154,0.65359
155,0.650804
156,0.649093
157,0.64612
158,0.64463
159,0.643351
160,0.642437
161,0.641746
162,0.641141
163,0.641031
164,0.640134
165,0.640399
166,0.640408
167,0.640054
168,0.639372
169,0.6367
170,0.633494
171,0.630269
172,0.625768
173,0.622275
174,0.61905
175,0.614389
176,0.611017
177,0.609179
178,0.607688
179,0.606553
180,0.605399
181,0.605349
182,0.604507
183,0.604038
184,0.603038
185,0.603128
186,0.602611
187,0.60207
188,0.601874
189,0.601852
190,0.60161
191,0.601542
192,0.601441
193,0.600995
194,0.600651
195,0.600564
196,0.600422
197,0.600026
198,0.599386
199,0.598902
200,0.598707
201,0.597746
202,0.597713
203,0.596336
204,0.595175
205,0.594841
206,0.594269
207,0.593641
208,0.593466
209,0.592671
210,0.592301
211,0.591844
212,0.592413
213,0.59274
214,0.593833
215,0.593951
216,0.59427
217,0.596347
218,0.595528
219,0.594776
220,0.597377
221,0.595893
222,0.59412
223,0.59237
224,0.590632
225,0.590989
226,0.591402
227,0.589938
228,0.589574
229,0.588647
230,0.587436
231,0.585898
232,0.585584
233,0.586754
234,0.58711
235,0.586097
236,0.73388
237,0.778749
238,0.751206
239,0.744223
240,0.734661
241,0.731357
242,0.72863
243,0.728277
244,0.732056
245,0.72698
246,0.727417
247,0.719631
248,0.72368
249,0.725265
250,0.724673
251,0.724061
252,0.720802
253,0.716455
254,0.717833
255,0.718147
256,0.717654
257,0.716886
258,0.716543
259,0.716935
260,0.716774
261,0.716667
262,0.716603
263,0.712654
264,0.714574
265,0.713511
266,0.713196
267,0.712864
268,0.711274
269,0.708896
270,0.709118
271,0.712886
272,0.718241
273,0.716018
274,0.705283
275,0.713013
276,0.711559
277,0.711158
278,0.707822
279,0.692962
280,0.682819
281,0.68824
282,0.699671
283,0.672461
284,0.685166
285,0.665102
286,0.684503
287,0.679841
288,0.676623
289,0.670083
290,0.668268
291,0.665858
292,0.663752
293,0.660935
294,0.65999
295,0.659345
296,0.661478
297,0.665113
298,0.656053
299,0.653304
300,0.652126
301,0.65173
302,0.650845
303,0.651564
304,0.650442
305,0.649295
306,0.647776
307,0.647578
308,0.640751
309,0.641204
310,0.639693
311,0.641389
312,0.644897
313,0.641881
314,0.64494
315,0.689747
316,0.65177
317,0.643889
318,0.639917
319,0.639741
320,0.637501
321,0.638074
322,0.636299
323,0.635433
324,0.640452
325,0.64201
326,0.639584
327,0.640647
328,0.641917
329,0.64078
330,0.638746
331,0.654542
332,0.637974
333,0.638033
334,0.636564
335,0.639114
336,0.633961
337,0.633871
338,0.628461
339,0.626305
340,0.62466
341,0.629022
342,0.629313
343,0.625766
344,0.624764
345,0.618959
346,0.619649
347,0.620776
348,0.615022
349,0.618622
350,0.619971
351,0.617415
352,0.617456
353,0.615912
354,0.620672
355,0.623172
356,0.612313
357,0.611221
358,0.610149
359,0.60602
360,0.61003
361,0.606303
362,0.606394
363,0.603731
364,0.609023
365,0.601877
366,0.60481
367,0.606947
368,0.612539
369,0.60823
370,0.608202
371,0.607261
372,0.603194
373,0.602704
374,0.600221
375,0.606027
376,0.601739
377,0.604496
378,0.603648
379,0.604756
380,0.603916
381,0.608863
382,0.602114
383,0.605738
384,0.60442
385,0.603221
386,0.601735
387,0.598174
388,0.600614
389,0.59848
390,0.601968
391,0.602686
392,0.600174
393,0.607069
394,0.594969
395,0.59997
396,0.601459
397,0.599433
398,0.601918
399,0.60976
400,0.669532
401,0.65157
402,0.622167
403,0.620734
404,0.618632
405,0.618116
406,0.61979
407,0.610303
408,0.609712
409,0.603117
410,0.604696
411,0.603963
412,0.604433
413,0.650685
414,0.670759
415,0.668488
416,0.636144
417,0.63221
418,0.628382
419,0.626902
420,0.618805
421,0.617607
422,0.6107
423,0.603451
424,0.60081
425,0.60926
426,0.597003
427,0.59005
428,0.590515
429,0.589035
430,0.586766
431,0.588089
432,0.587655
433,0.588662
434,0.587111
435,0.588321
436,0.585491
437,0.588012
438,0.588448
439,0.58948
440,0.590868
441,0.591371
442,0.5904
443,0.592098
444,0.592024
445,0.593096
446,0.592225
447,0.593098
448,0.594516
449,0.594268
450,0.593954
451,0.592708
452,0.594168
453,0.59445
454,0.592207
455,0.593203
456,0.593835
457,0.596205
458,0.592967
459,0.592119
460,0.593314
461,0.592426
462,0.590549
463,0.591568
464,0.592574
465,0.591704
466,0.591
467,0.588435
468,0.590182
469,0.589958
470,0.589605
471,0.588416
472,0.589361
473,0.61291
474,0.61184
475,0.606319
476,0.602135
477,0.601942
478,0.614365
479,0.593107
480,0.592527
481,0.592638
482,0.591939
483,0.592005
484,0.591013
485,0.590145
486,0.590024
487,0.588427
488,0.588461
489,0.587314
490,0.585418
491,0.586843
492,0.593047
493,0.589642
494,0.589791
495,0.587917
496,0.589629
497,0.586716
498,0.588325
499,0.588397